id,ref_id,agency,project_name,project_overview,category,release_type,download_link,github_repo,notes,date_extracted
59816620960002ef53059a7c,ARC-16332-1A,ARC,Kepler Science Data Processing Pipeline ,"The Data Processing Pipeline is a central element of the Kepler Ground Data System. The Science Processing Pipeline is used to analyze stellar photometric data from the Kepler spacecraft and report results to search for planets within the Kepler photometric dataset. The software data release is to allow the scientific community access to the details of the software algorithms within the Science Processing Pipeline. The pipeline performs pixel-level calibration, photometric analysis, systematic error correction, transiting planet detection, modeling and diagnostic testing of potential transit signatures, attitude determination, stellar target management, and monitoring of instrument health and performance. ",data and image processing,Open Source,NA,https://github.com/nasa/kepler-pipeline,NA,2024-07-16
5f9cf8c5a6a55465664746c2,ARC-17917-1,ARC,SMS/SDSS STBO Data Fuser,"Develop a mechanism that combines multiple sources of air traffic, airline, and airport data that contain many overlapping or similar types of data and create a unified set of data that can be used for Surface Trajectory Based Operations (STBO) air traffic management systems.",aeronautics,Open Source,NA,https://github.com/nasa/atd2-fuser,NA,2024-07-16
625f9cee4de6f068af3362a7,NPO-50785-1,JPL,PDSC: Planetary Data System Coincidences,The PDSC library allows for quickly querying coincident observations by constructing a set of special databases and index structures during the ingestion process. The first database constructed is simply a SQL version of the PDS cumulative index. The second set of index structures holds geometric information used for coincidence queries,data and image processing,Open Source,https://pypi.org/project/pdsc/,NA,NA,2024-07-16
6260ee4c1c01d114a968bc74,NPO-51099-1,JPL,Planetary Data System Inspect Tool,"The Inspect Tool is a component of the Preparation Tools suite of tools providing functionality for preparing data for ingestion into PDS. It is intended to provide a capability for opening and inspecting the contents (e.g. label, objects, groups) of any PDS compliant archival product, and a method to visualize selected archival products.",data and image processing,Open Source,NA,https://github.com/NASA-PDS/pds-view,NA,2024-07-16
626a28be55a62476f177c1a2,NPO-50269-1,JPL,DAta to Image SYstem (DAISY),"Level 2 data can be visualized with accurate geometry through the use of the DAISY software and the GIBS web services. L2 data geolocation is indexed and instrument viewing geometry is used to generate accurate data footprints per data point in the form of an index image. An index image contains index values in its pixels to associate the corresponding data to the pixel. The index image is used as input to the MRF generation software that is part of GIBS and served out as tiles to clients. Clients that receive the index tiles must also access the source data via a technology such as webification in order to pull out the data at the indices that are in the tile image. This allows science data to be transferred into a client as an ""image"".",data and image processing,Open Source,NA,https://github.com/nasa-gibs/daisy,NA,2024-07-16
54405dc12841f54dacba72f5,KSC-13203,KSC,Analog Input Data Acquisition Software,"With the easy-to-use Analog Input Data Acquisition Software, a user can set up a system for monitoring up to five analog input channels. The software requires LabVIEW runtime engine 8.0 (a free download from ni.com) to run the executable.",data servers processing and handling,U.S. Release Only,NA,NA,NA,2024-07-16
641d37be6c9e6f6886004ce2,NPO-52413-1,JPL,DDSA - Data Driven Science Architecture,"The DDSA software provides for collaborative data science analysis, management, and capture of complex bio-science data sets.",data and image processing,General Public Release,NA,https://github.com/Labcas-NIST,NA,2024-07-16
6493ebe4ff91d6ef69032f62,MFS-34433-1,MSFC,Large Scale Data Transfer Study,"To facilitate petabyte scale data transfer between NASA and ESA, we have developed a framework for transferring 6 petabytes of data from ESA to NASA to support the Harmonized Landsat Sentinel-2 data products. With increases in collaboration between the agencies and increased data volumes, this framework is designed such that it can be applied for future data exchanges between the agencies.",environmental science earth air space exoplanet,Open Source,NA,https://github.com/NASA-IMPACT/Blaze-Framework/tree/v1.0.0,DOI for the software: https://doi.org/10.5281/zenodo.8061001,2024-07-16
664d8541c65c01bdf602a832,ARC-18884-1,ARC,Data & Reasoning Fabric (DRF) Core,"Operations in dynamic environments require decisions based on diverse and evolving data, including vehicle, airspace, weather, infrastructure, payload, and customer data. The complexity and density of these operations are expected to increase significantly over the next several decades. This will necessitate new strategies and systems that leverage emerging technologies to manage increasingly complex environments, especially in urban areas where rich data streams from smart cities will be crucial for efficient operations. The goal of the Data & Reasoning Fabric (DRF) is to address these challenges by enabling a self-sustaining marketplace where data and reasoning providers can advertise their services, and data and reasoning consumers can discover, vet, purchase, interconnect, and utilize these services to accomplish their missions. DRF is a framework for an ecosystem that encourages commercial industries to exchange information with each other while monetizing their digital assets and maintaining control of their intellectual property. It also allows government entities to enforce policies and regulations. DRF is an open and scalable framework that abstracts the technical complexities of data and AI services while providing interoperability and data protection across the cloud-to-edge continuum using decentralized networks, advanced cryptography methods, distributed interoperability architecture, and support for economic activities.",aeronautics,U.S. Release Only,"Contact, drf@lists.nasa.gov, for access to the code",NA,NA,2024-07-16
5ebe2b4440205c0850658de2,ARC-18270-1,ARC,MiniWall - Data Visualization Web Browser Application,"The MiniWall software is browser based software that is used to analyze and understand large and small computationally and experimentally generated data sets. The MiniWall software presents a matrix view of plots and other visualization images and provides a responsive and productive way to investigate the data and extract knowledge and understanding from it. Since it is browser based, it runs on any computer or device that can display a web page. It can also be used remotely and securely by using web server software such as the Apache HTTP Server.",data and image processing,Open Source,NA,https://github.com/nasa/MiniWall,NA,2024-07-16
5d8ef24c40205c038c24d604,ARC-17174-1,ARC,Exploration Ground Data Systems (xGDS) v1 ,"Software to support science operations, including tools for planning, monitoring, visualization, documentation, analysis, and search.",data and image processing,Open Source,NA,https://github.com/xgds,NA,2024-07-16
591be0239600024548e39c27,GSC-17780-1,GSFC,ICESat-2 Standard Data Products Subsetter,"This software was designed to subset ICESat-2 Standard Data Products. That is, it reads in a single HDF5 ICESat-2 data granule, and uses rules in a control file to reduce the set of prameters according to the rules in the control file, and writes out the resulting file. The purpose of the software is to (a) reduce the size of ICESat-2 Standard Data Product Granules and (b) reduce the number of parameters in an ICESat-2 Standard Data Product granule to those required by a data user. As each user's requirements will be different, the software can subset the granule in a variety of ways, using almost any parameter in the data file as a basis for subsetting.",environmental science earth air space exoplanet,Open Source,https://icesat-2.gsfc.nasa.gov/,NA,NA,2024-07-16
54405bcf2841f54dacba7206,GSC-14292-1,GSFC,Coordinated Data Analysis Workshop Web (CDAWeb),The CDAWeb software and the CDAWeb service built on this software have been developed and continue to be enhanced and maintained by the Space Physics Data Facility. The technology has supported NASA/Office of Space Science programs dealing with the connections between the Sun and the Earth. CDAWeb software is essentially a set of Interactive Data Language (IDL) scripts that act as the engine of the system. Please visit: http://cdaweb.gsfc.nasa.gov/cdaweb/istp_public/,data servers processing and handling,Open Source,http://cdaweb.gsfc.nasa.gov/cdaweb/istp_public/,NA,NA,2024-07-16
582565a4ab4c74af2e478864,NPO-49884-1,JPL,EDGE - The Extensible Data Gateway Environment,"EDGE uses Apache Solr for fast indexed search backend. Inventory data stored in PO.DAAC's Oracle server is being incrementally indexed avery 15 minutes. Apache Solr provides optimal search solution to all data it managements. By offloading data from Oracle, this eliminates Denial of Service (DoS) attacks against the core data management backend. To further ensure reliable serving of data, EDGE's Apache Solr uses Master and Slave model. The Master instance is for data indexing. ",data servers processing and handling,Open Source,NA,https://github.com/apache/incubator-sdap-edge,"https://download.jpl.nasa.gov/ops/request/index.cfm, request software",2024-07-16
582565acab4c74af2e478876,NPO-47934-1,JPL,Oceanographic Data Management And Archive System,"The Physical Oceanography Distributed Active Archive Center (PO.DAAC) is the center for oceanographic data for the NASA Earth Science Data and Information System (ESDIS). The primary function of PO.DAAC is to ingest, validate, archive, and distribute oceanographic artifacts.",data servers processing and handling,Open Source,NA,https://github.com/dataplumber/dmas,"https://download.jpl.nasa.gov/ops/request/index.cfm, request software",2024-07-16
625f9cc39d4d6845a309c112,NPO-52074-1,JPL,MRSDS: Methane Research Science Data System,"While methane observing systems are proliferating there remain serious gaps in terms of data systems and analytic frameworks that can fully exploit them. Through our collective exposure to remote-sensing based methane research and applied science we assess that currently there is no information system technology that can address the improvements in data analysis latency, discoverability, data fusion and on-demand analytics required by the research community and public and private sector decision makers. We propose to develop a Multi-scale Methane Analytic Framework (M2AF) that can help address one of the more persistent challenges in Earth System Science: understanding the causes for the changing atmospheric growth rate of methane. M2AF will lay the foundation for extending existing methane analysis systems beyond their current experimental states, reduce latency and cost of methane data analysis and improve accessibility by researchers and decision makers. To meet these needs M2AF will advance and uniquely bring together multiple observational data sets, models and analysis methods to estimate methane fluxes across three key, overlapping spatial scales in order to disentangle confounding processes: 1) global to regional scale, 2) regional to local scale, and 3) facility (point source scale). M2AF will offer workflow optimization and management tools to improve automation, data search and discovery tools for improved access to intermediate and final products, as well as on-demand analytics and web- based tools for interacting with diverse data sets. MRSDS is the output of the M2AF project.",data and image processing,Open Source,NA,https://github.com/mrsds,Home page: https://mrsds.github.io/ and Source code: https://github.com/mrsds,2024-07-16
64801840bb07be5292027432,NPO-52612-1,JPL,Data Analysis using Imagery Layers (DAG),"The DAG software implements a generalized, cloud-enabled web service for the extraction of converted geophysical values from satellite imagery layers being served out via Tiled-WMS imagery servers and the computation of geo spatial analytics on the data returned. Analyses supported at present focus on spatial and temporal summary statistics for user selected bounding box regions, time ranges and variables of interest. The DAG service can be invoked both directly programmatically via calls to the API and via the Flask Open-API interface implemented by DAG. Outputs can be consumed by various client applications, including visualization and other tools.",data and image processing,General Public Release,NA,https://github.com/ceos-coverage/coverage-dag,NA,2024-07-16
648801418fd75285ab057162,MFS-34306-1,MSFC,Visualization Exploration and Data Analysis (VEDA),"VEDA is an ecosystem of tools and services to address the need for open cyberinfrastructure for processing, analyzing, and visualizing Earth observation data.",environmental science earth air space exoplanet,Open Source,NA,https://github.com/orgs/NASA-IMPACT/repositories?q=veda,NA,2024-07-16
6570175103bbeaf6d202cc12,NPO-52045-1,JPL,Planetary Data System Image Atlas IV,"- Metadata-driven search of IMG's ~2PB of planetary image data- Bulk downloading capability following the ""shopping cart"" paradigm- File explorer for easy navigation of IMG's archives- Geospatial search- Machine learning-driven feature classification- Interactive label viewer",data and image processing,General Public Release,NA,https://github.com/NASA-PDS/atlas4,NA,2024-07-16
54405bbd2841f54dacba71fc,GSC-14730-1,GSFC,Space Physics Data Facility (SPDF) Web Services,These Web services provide a distributed programming interface to a portion of the Space Physics Data Facility (SPDF) software. The technology conforms to all applicable Web service specifications of the World Wide Web Consortium. Please visit the following URL for additional information: http://spdf.gsfc.nasa.gov/,environmental science earth air space exoplanet,Open Source,http://spdf.gsfc.nasa.gov/,NA,NA,2024-07-16
57b2ae0fab4c74ec6e20d19b,LAR-18928-1,LARC,CEOS Data Cube Platform v.2 (CEOS2),"The Committee on Earth Observation Satellites (CEOS) has long recognized a need for data processing infrastructure to support Earth science objectives in developing countries. Forest preservation initiatives, carbon measurement initiatives, water management and agricultural monitoring are just few examples of causes that can benefit greatly from remote sensing data. Currently, however, many developing nations lack the in-country expertise and computational infrastructure to utilize remote sensing data.The CEOS Data Cube Platform provides a flexible model to address these needs. The CEOS Data Cube Platform is a data processing platform for Earth science data, with a focus on remote-sensing data. The platform provides a data ingestion framework that includes support for automated ingestion of a wide variety of remote sensing data products. The data products are ingested into an N-dimensional data array that abstracts away management of distinct acquisitions. The platform has a tiered API for data processing and a data/application platform layer for higher-level access.",environmental science earth air space exoplanet,Open Source,NA,https://github.com/ceos-seo/Data_Cube_v2,NA,2024-07-16
578dc3a3ab4c748a4b4a42f4,GSC-17389-1,GSFC,GLOBE Program's Data Entry App for iOS,"The Global Learning and Observations to Benefit the Environment (GLOBE) program is a worldwide hands-on, primary and secondary school-based science and education program. The GLOBE Program's Data Entry App for iOS, enables members to enter data to via their iOS devices and when in the field, where they may not have internet connection. Their data will be stored locally on their iOS devices and sent to the GLOBE database once their devices get connected to internet. This project also facilitates data entry by leveraging mobile capabilities including GPS, photography and date/time. ",environmental science earth air space exoplanet,General Public Release,https://itunes.apple.com/us/app/globe-data-entry/id980592274?ls=1&mt=8,NA,NA,2024-07-16
54405b7b2841f54dacba71db,GSC-14938-1,GSFC,Earth Observing System (EOS) Data Gateway (EDG),"The Earth Observing System Data Gateway (EDG) provides the earth science community with a single interface that will search for data granules from distributed data archives. The innovation enables users to explore, discover, and order available data from geographically distributed providers. For more information, please visit: http://opensource.gsfc.nasa.gov/projects/edg/index.php#software",data servers processing and handling,Open Source,http://opensource.gsfc.nasa.gov/projects/edg/index.php,NA,NA,2024-07-16
54405ddc2841f54dacba7302,LAR-16371-1,LARC,"Data Transfer Between Dissimilar Meshes (DTBDM, 2.0)","Designed to automate an otherwise labor-intensive process, DTBDM puts the aerodynamic loads output of a computational fluid dynamics (CFD) package into the structural model of an aircraft to allow for deflection calculations.",structures and mechanisms,U.S. Release Only,NA,NA,NA,2024-07-16
578dc3a5ab4c748a4b4a42f5,GSC-17390-1,GSFC,GLOBE Program's Data Entry App for Android,"The Global Learning and Observations to Benefit the Environment (GLOBE) program is a worldwide hands-on, primary and secondary school-based science and education program. The GLOBE Program's Data Entry App for Android, enables members to enter data to via their Android devices and when in the field, where they may not have internet connection. Their data will be stored locally on their Android devices and sent to the GLOBE database once their devices get connected to internet. This project also facilitates data entry by leveraging mobile capabilities including GPS, photography and date/time.",environmental science earth air space exoplanet,General Public Release,https://play.google.com/store/apps/details?id=gov.nasa.globe.deapp&hl=en,NA,NA,2024-07-16
6226fa502c5ec07fda683622,GSC-18917-1,GSFC,cFS Data Storage (DS) application version 2.6.0,The Data Storage (DS) application is one of the reusable applications that is used with the Core Flight System (cFS) framework. DS manages the storing of data on-board a spacecraft for later transmission to the ground.,vehicle management space air ground,Open Source,NA,https://github.com/nasa/ds,NA,2024-07-16
5f7ea64240205c0df153ffe2,GSC-18448-1,GSFC,cFS Data Storage (DS) application version 2.5.2,The Data Storage (DS) application is one of the reusable applications that is used with the Core Flight System (cFS) framework. DS manages the storing of data on-board a spacecraft for later transmission to the ground.,vehicle management space air ground,Open Source,NA,https://github.com/nasa/DS,NA,2024-07-16
5789d567ab4c743213662020,GSC-15992-1,GSFC,Lossless Hyper-/Multi-Spectral Data Compression Software,This software performs lossless hyper-spectral and multi-spectral data compression. It can be downloaded at: http://opensource.gsfc.nasa.gov/projects/LHD/,data and image processing,Open Source,http://opensource.gsfc.nasa.gov/projects/LHD/,NA,NA,2024-07-16
544057c62841f54dacba7039,ARC-16019-1,ARC,Viewpoints: Software for Visualization of Multivariate Data,"A software application that allows the interactive visualization of multivariate data using a variety of standard techniques, Viewpoints can be used with extremely large data sets.",data and image processing,Open Source,http://www.assembla.com/wiki/show/viewpoints/downloads,NA,NA,2024-07-16
629ee4c08c507a771714b063,NPO-51406-1,JPL,Cloud-based Data Processing System for ECCO,"The Estimating the Circulation and Climate of the Ocean (ECCO) global ocean state estimation system (https://ecco.jpl.nasa.gov) is the premier tool for synthesizing NASA's diverse Earth system observations into a complete physical description of Earth's time-evolving full-depth ocean and sea ice system. ECCO state estimates are of particular significance to NASA because on their own, all satellite observations, although global in coverage, remain sparse in space and time relative to the inherent scales of ocean variability, and are blind to the oceans interior. With increased streams of data at better spatial resolution the scientific utility of the product is increasingly limited by 1) the inability to automate observing network ingestion and update in a rapid, robust manner, and 2) the lack of capabilities to search, and perform efficient online data analysis. ECCO-Cloud is a NASA Advancing Collaborative Connections for Earth System Science (ACCESS) project. Its goals are to tackle the two limitations by leveraging serverless cloud-based solution to automate product generation and to establish a cloud-based analytics center for the ECCO community for fast access and interactive analysis using prior NASA AIST-funded technology, the Apache Science Data Analytics Platform (https://sdap.apache.org).",data and image processing,Open Source,NA,https://github.com/ECCO-GROUP/ECCO-ACCESS,NA,2024-07-16
629ee4c51c48105c3a182c23,NPO-50934-1,JPL,Data driven solutions for general satellite maneuvers.,"Satellite swarms will be an integral tool for many future space-based scientific endeavors, including space-based interferometry. These endeavors will require the ability to precisely reconfigure satellites swarms to specifications generated on the fly according to scientific priorities. Crucial to reconfiguring swarms is the ability to maneuver individual satellites between prespecified start and end positions in a fixed amount of time.However, there is no consensus solution on how to do these single satellite maneuvers fuel-efficiently in the general case. Consider the position of a single satellite in the swarms Local Vertical/Local Horizontal (LVLH) reference frame relative to the swarms reference orbit. For specific single satellite transition scenarios, such as transferring the satellite between LVLH passive reference orbits (PROs) with minimal thrust expenditure in the Clohessy-Wiltshire (CW) linearized orbit dynamics system, provably optimal algorithms have been developed. But these provably optimal algorithms fail to generalize in a multitude of ways. They fail to generalize to arbitrary start and end states in the LVLH frame, they fail to generalize to more complex dynamical models such as those including J2 and drag terms, they cannot handle more detailed models of thrusters and satellite pose, and cannot account for more complex optimization criteria which balance the needs of scientific instruments with fuel efficiency and timeliness.",data and image processing,Open Source,NA,https://github.com/marsai2/swarm-spacecraft-formation-flying,NA,2024-07-16
613063a46e23403d7331d2a2,ARC-18677-1,ARC,GeneLab Amplicon and Metagenomics Data Processing Pipelines,This technology details each step in GeneLab's standard pipelines for processing Amplicon and Metagenomics sequence data. These processing protocols have been wrapped into Snakemake workflows that utilize Conda environments. Instructions for installing and implementing these Snakemake workflows are included along with example processed datasets.,data and image processing,Open Source,NA,https://github.com/nasa/GeneLab_Data_Processing,NA,2024-07-16
637485dd6c39357eaa031da6,NPO-52290-1,JPL,Harvester of remote time-stamped data products,"Ocean science and decision support applications increasingly rely on the synergistic, interdisciplinary use of multivariate/multi-parameter data from multiple distributed agency repositories. While more available, the growing variety and volume of ocean observing data combined with the heterogeneous modalities of access continue to pose a challenge to broad-scale uptake and usage. This limits the effective utilization of costly investments in sustained ocean observation by an increasing diversity of user communities with a need for such environmental information on the oceans for the assessment of climate change and other ecosystem impacts. Leveraging an advanced cloud technology stack and ongoing multi-agency pilot efforts being spearheaded by NASA, the Committee for Earth Observations (CEOS) Ocean Variables Enabling Research and Applications for GEO (Group for Earth Observations) (COVERAGE) initiative seeks to collaboratively develop the next generation data service infrastructure for a more digitally integrated ocean observing system in support of marine science and ecosystem-based management as well as furthering the use of remote sensing data in multidisciplinary science. In particular, we envision the implementation of a data services layer a top of existing agency repositories to provide more harmonized access to satellite, in-situ, and model data across a fragmented ocean data landscape with a set of value-added services that include integrated data search, visualization and analytics.",data and image processing,General Public Release,NA,https://github.com/jjacob7734/harvester_ts,NA,2024-07-16
63c8e5cf44687bd6f20274d2,NPO-52175-1,JPL,AFIDS Automated Fusion of Image Data System,"AFIDS Open Source AbstractAFIDS (Automated Fusion of Image Data System) is a library subset of the JPL VICAR (Video Image Communication and Retrieval) image processing system. VICAR began development in the 1960s in support of NASA/JPL's mission to explore the solar system. AFIDS forked in 2000 to focus on Earth orbital image co-registration in support of the NASA Earth Sciences program. Today, the effort is to re-integrate AFIDS back into VICAR and release it through the VICAR Open Source program. -AFIDS brings the concept of ""georeferenced map images"" to VICAR through the AFIDS ""VicarGT"" format (a compatible version of the industry standard ""GeoTIFF"" format). - AFIDS provides the ability to Ortho-Rectify and Co-Register orbital satellite imagery (using automated and customizable software).- AFIDS provides the image processing tools to perform scientific analysis and research of co-registered imagery (for example: Precision Change Detection).- AFIDS is rooted in Earth Science (supporting MISR, MAIA, CloudSat, EMIT, ECOSTRESS, OCO2, more), but also provides mapping support for Mars and Planetary orbital datasets (e.g., Mars Nest; AFIDS Mosaicking).AFIDS is a library collection of 200+ vicar-based programs and scripts, but also relies upon JPL and external 3rd party libraries including GDAL, GeoTIFF, Python, JPL GEOCAL, NASA NAIF/SPICE, and a variety of global databases.",data and image processing,General Public Release,NA,https://github.com/NASA-AMMOS/VICAR/,NA,2024-07-16
66332744f2eca0cdd2020182,NPO-53083-1,JPL,Thermal correction of HVM3 imaging spectrometer data,"We apply a Bayesian model inversion approach to disentangle the temperature-dependent thermal emission signal and the solar-reflected portion, enabling thermally-corrected surface reflectance maps for instruments like JPL's High Resolution Volatiles and Minerals Mapper for the Moon (HVM3). The Bayesian strategy makes the ill-posed problem tractable by introducing background information about ""legal"" surface reflectance values in the form of a loose statistical prior developed from library spectra.",data and image processing,General Public Release,NA,https://github.com/LunarTrailblazr/HVM3-Thermal-Correction,NA,2024-07-16
582565a2ab4c74af2e478860,NPO-48877-1,JPL,DEMUD: Discovery through Eigenbasis Modeling of Uninteresting Data,We have developed a machine learning solution called DEMUD (Discovery through Eigenbasis Modeling of Uninteresting Data). DEMUD works by building a model U of the uninteresting class and then identifying items that are maximally anomalous (and therefore likely to be interesting) with respect to that model.,data servers processing and handling,Open Source,NA,https://github.com/wkiri/DEMUD,"https://download.jpl.nasa.gov/ops/request/index.cfm, request software",2024-07-16
557fb56295dd5eb36109203d,MFS-33219-1,MSFC,Python Advanced Microwave Precipitation Radiometer Data Toolkit (PyAMPR),"This toolkit will read geolocated brightness temperature data (in ASCII format) from any flight of the AMPR airborne instrument. A python script will pull out timing, brightness temperatures, and other information from each channel/geolocation and store them as attributes using the appropriate type of numpy array. The approach consists of ingesting the entire file as a text string and then parsing and converting as necessary. The file is read and the data are populated when the class is instantiated with the full path and name of an AMPR file. Numerous visualization methods are provided, including track plots, strip charts, and Google Earth KMZs. In addition, polarization deconvolution is available.",environmental science earth air space exoplanet,Open Source,NA,https://github.com/tjlang/PyAMPR,NA,2024-07-16
544058572841f54dacba7052,ARC-16021-1A,ARC,"Data Parallel Line Relaxation Code (DPLR), Version 4","The DPLR software package is a suite of CFD tools for the computation of supersonic and hypersonic flows in chemical and thermal nonequilibrium. Included in the package are 2D/axisymmetric and 3D structured grid finite volume Navier-Stokes codes, a pre-processor, and a post-processor. The code supports implicit boundary conditions, generalized multi-block topologies, grid alignment to flow features, and generalized chemical kinetics and thermodynamic property databases.",design and integration tools,U.S. Government Purpose Release,NA,NA,NA,2024-07-16
6260ee4feab61c27e25fc6e6,NPO-47832-1,JPL,"A Model-Driven, Science Data Product Registration Service","The Planetary Data System (PDS) has undertaken an effort to overhaul the PDS data architecture (e.g., data model, data structures, data dictionary, etc.) and deploy a software system (online data services, distributed data catalog, etc.) that fully embraces the PDS federation as an integrated system while leveraging modern information technology. The CCSDS Reference Model in turn relies heavily on the Electronic Business using eXtensible Markup Language (ebXML) standards for registry services and the registry information model, managed by the OASIS consortium.",data and image processing,Open Source,NA,https://github.com/NASA-PDS/registry,NA,2024-07-16
6279fabe70b2070fae76d022,LAR-20094-1,LARC,Principle Component Analysis (PCA) for Thermography NDE Data,Software that reads thermography data and performs principal component analysis (well known technique used on many data types) on the data over a specified number of image frames,data and image processing,U.S. Release Only,NA,NA,In order to use this software; you will need your own MATLAB license,2024-07-16
63996fd04bc3ddd7c60d8262,MFS-34375-1,MSFC,TASC CMOD and Force Test Data Pre-Processor,This software imports load frame test records for crack mouth opening displacement mechanical tests and offers the user the ability toperform data processing operations and convert the data into a format readable by the Tool for Analysis of Surface Cracks (TASC - NASA Technology MFS-33082-1). The core operations performed by this data pre-processing tool are related to data clean-up to correct for extensometer slips and alignment of the data with the origin to ensure proper test evaluation within TASC.,data and image processing,U.S. Release Only,NA,NA,NA,2024-07-16
